,UsernamePost,DatePosting,Posting,Saham
172,jeff268,"12 May 21, 19:30",@muhamadyamin makin sepi makin ajibbb. Makin diiris makinn mantab. Ikuti ajah arusnya wuhuuuu..,[]
173,bennix,"12 May 21, 19:30",@ckck Congratulations bro,[]
174,buddhisudrajat,"12 May 21, 19:29","$ITMG coal dah diatas $100, laba naik 191%. Tidur nyenyak nih.",ITMG
175,NhaLo,"12 May 21, 19:28","@SetiawanSkom kan saya kasih info perhatikan juga growth labanya, baca yang teliti ya, biar ngak salah persepsi.",BACA
176,rk27,"12 May 21, 19:28",@kaburterus Eid Mubarak my brother,[]
177,christianedbert,"12 May 21, 19:28","itu rumus ""MOS = BV per share - Harga saham"", siapa yg ngajarin ?",[]
178,jameshermanto,"12 May 21, 19:26",selamat hari raya Idul Fitri jg mas,[]
179,SetiawanSkom,"12 May 21, 19:26","menurut saya, suatu perusahaan hanya boleh dihargai di pbv tinggi bila labanya juga tinggi",[]
180,rk27,"12 May 21, 19:26",@ricky2212 well said... Eid Mubarak my brother.,[]
181,yodhaanoraga,"12 May 21, 19:25",yang banyak luput dari perhatian investor adalah mayoritas emiten batubara malah arahnya shifting ke ebt. bahkan emiten ebt sendiri malah kalah. ptba lg build plts di lahan bekas tambang. mau bikin gasifikasi juga. emiten ebt di idx malah rata2 ampas.,PTBA
182,SetiawanSkom,"12 May 21, 19:25","maaf ga setuju lihat sales growth, perusahaan2 skrg byk yang ningkatin sales dengan bakar duit, padahal rugi.

bakar2 duit juga sudah dilakukan saat awal2 perusahaan internet bermunculan tahun 1990an, silahkan baca di wikipedia ""dot com bubble"".

microsoft dulu 20an tahun silam divaluasi berlebihan juga, setelah dotcom bubble pecah, butuh puluhan tahun microsoft kembali ke ATH nya",BACA
183,MagamadragonJagalzor,"12 May 21, 19:25","Tulisan Bapak NhaLo.Baik sekali Dan mencerahkan investors
Saya juga mengamati Unilever harganya terlalu tinggi .perkiraanku 4000 mulai menarik bagi investors.",[]
184,swingbaguzpedia,"12 May 21, 19:25 · Edited on 12 May 21, 19:26","$MEDC $ELSA $RAJA
$BRENT","ELSA,MEDC,RAJA"
185,febrindas,"12 May 21, 19:25","@Candra088 betul, unvr bisa kayak lppf klo manajemennya ugal ugalan, makanya jangan jatuh cinta dnegan 1 saham, karena pasti berakhir","LPPF,UNVR"
186,bejocuan,"12 May 21, 19:24","@sofyurrizal berarti beli BMRI PBV 1.5, secara tidak langung beli juga BRIS dg PBV 1.5, dengan porsi sesuai kepemilikan BRIS di BMRI yaitu 50%??","BMRI,BRIS"
187,Andreza91,"12 May 21, 19:24",tebar fear tapi dibeli juga.,[]
188,kaburterus,"12 May 21, 19:24",@DhianPuspitasari belom. Ngantri 5.500 kemaren2 gak dijemput...,[]
189,febrindas,"12 May 21, 19:23","@sofyurrizal benar, hehe, itulah serunya investasi",[]
190,bennix,"12 May 21, 19:22 · Edited on 12 May 21, 19:27","@widhik Yang saya salut kabarnya niat awal Mongol ke Nusantara untuk membunuh Raja Kertanegara yang membangkang, sampai di Jawa malah jadi membalaskan kematian Kertanegara yang dibunuh Jayakatwang.

Ini saya rasa termasuk contoh Diplomasi tingkat Dewa. Di Medan perang tentara Musuh malah jadi kawan.

BTW, ada rekomendasi buku yang bagus tentang kisah invasi Mongol atau Raden Wijaya? Saya belum pernah ketemu bukunya selain dari kurikulum sekolah dulu.","DEWA,JAWA,RAJA"
191,dwisaputra052,"12 May 21, 19:22",iya jon moon maaf lair batin ojol,[]
192,Candra088,"12 May 21, 19:21","@febrindas Dlu $LPPF ROE besar sekarang jadi brp hayooo
20.000 menjadi 1500",LPPF
193,NhaLo,"12 May 21, 19:20",@NhaLo eh baru liat postingan lama,[]
194,DhianPuspitasari,"12 May 21, 19:20",@kaburterus gk usah di fear kyknya udah pada takut itu bang liat super akut downtrend $UNVR,UNVR
195,suhanaann,"12 May 21, 19:18",selamat hari raya Idul fitri maapin ya sedulur kabeh,[]
196,NhaLo,"12 May 21, 19:17",@bennix Masih bagus kok DYnya masih $TLKM diatas 5% apalagi $HMSP masih 8%an mendinglah pakai banget daripada deposito.,"HMSP,TLKM"
197,Candra088,"12 May 21, 19:17","@sukram88 crypto hanya sebagian cuan saja
karena aset itu sangatlah spekulatif
lebih baik dari pada forex",[]
198,raikkonen,"12 May 21, 19:17","@ArieWibowoK

Setuju, boring stock, tahun depan aja baru liat lagi, anggap aja gak pernah beli sahamnya.

Cocok untuk yang punya duit banyak, beli dan lupakan, dividen pasti dapat > deposito. Capital gain pasti dapat jg, tapi pelan dan gak tau kapan.

Kalo yang harapn capital gain cepat, mending gak usah beli saham ini, kecuali nasib lagi beruntung diangkat bandar.",[]
199,sofyurrizal,"12 May 21, 19:17","@febrindas iya makanya saya bilang, pemiik saham INDF akan dapat deviden ketika INDF bagi deviden bukan ketika ICBP bagi deviden,

karena bisa sj anak perusahaan bagi deviden, tp induknya tdk bagi deviden,","ICBP,INDF"
200,pmawardi,"12 May 21, 19:16","selama orang Indonesia masih makan daging ayam, hold keras...!",[]
201,sofyurrizal,"12 May 21, 19:15","@febrindas sayangnya 1 lot tdk akan bisa mempengaruhi keputusan mayoritas, karena ada PSP yang memiliki saham Lbh dari 50% di $INDF",INDF
202,AndriLoa,"12 May 21, 19:15","semua mentor pada pasang foto, cuma secret agent @skydrugz27 aja yg ga pake photo. Wak Sky bikin followernya penasaran",[]
203,mrase,"12 May 21, 19:15",beli ADA bro.,[]
204,ruthmarthaamelias,"12 May 21, 19:15",$CLEO,CLEO
205,ruthmarthaamelias,"12 May 21, 19:15",$CLEO,CLEO
206,ferisperkedel,"12 May 21, 19:14","$SIDO hallo semuanya. Saya mau tanya, adakah yang invest SIDO dalam waktu yang cukup lama? Terima kasih.",SIDO
207,febrindas,"12 May 21, 19:12","@sofyurrizal yeap klo indf minta, sayangnya indf udah punya wakil sendiri, hehe.",INDF
208,TradingGorengan,"12 May 21, 19:12","$IHSG,,
Met Hari Raya Idul Fitri Jon.
Minal Aidzin Wal faidzin.
Mohon Maaf Lahir & Batin.",[]
209,idProperti,"12 May 21, 19:12 · Edited on 12 May 21, 19:12",@rukawa .,[]
210,pain,"12 May 21, 19:11",gak jelas tp mau di pajakin.. ente sehat?,[]
211,widhik,"12 May 21, 19:11",wuuuussss....,[]
212,sofyurrizal,"12 May 21, 19:09","@febrindas punya 1 lot (0,0000008%) diminta mewakili dari yang memiliki persentase 80%",[]
213,glassovart,"12 May 21, 19:06",@olimpia di buku atau blog pak teguh hidayat,[]
214,febrindas,"12 May 21, 19:06 · Edited on 12 May 21, 19:08","@sofyurrizal kan ada pembaginya, 300 perak per lembar x jumlah lembar per saham dapet katakanlah A rupiah, A x 80%, itulah dapetnya Indf. yg dapet siapa? ya indf sebagai entity. pemegang saham indf dapat juga ngga? tergantung dari pemegang saham entity indf,klo di setujui dividen itu dibagikan, ya di bagikan semua.",INDF
215,widhik,"12 May 21, 19:06","bagi yang kalah atau rugi ya bilang ""gak jelas"" bagi yang untung atau menang ya ""jelas"" biasa ajalaaah...",[]
216,outlooks,"12 May 21, 19:04",santai aja...mau silakan ..mo naik bagus..,[]
217,rukawa,"12 May 21, 19:03","$HMSP $TLKM Berat jangan dibeli, biar ane aja yg makan dividen yield > 5% #kaboor","HMSP,TLKM"
218,widhik,"12 May 21, 19:03",bukan melemah tapi meLEMOOT,[]
219,kaburterus,"12 May 21, 19:01","@NewNormal 1. >1,5jt pemudik udah banyak yg lolos dr penyekatan; 2. orang yg sudah 2x divaksin sinovac tetap tertular covid-19; 3. penderita covid-19 tertular berkali2; 4. peningkatan cluster perkantoran di Jakarta; 5. hanya TPU Rorotan aja yang kosong. itu pertanda apa om",[]
220,sofyurrizal,"12 May 21, 19:01 · Edited on 12 May 21, 19:02","@febrindas sama seperti nanti kita mendapatkan deviden,
misal saya punya 1 lot $INDF, maka ketika $ICBP bagi deviden 300 perak/lembar, maka kita TIDAK akan mendapatkan deviden 30.000, tp $INDF akan mendapatkan deviden dari ICBP (sesuai dengan banyaknya lot) dan nanti ketika INDF bagi deviden, misal 150 perak/lembar. baru disitu kita akan mendapatkan bagian deviden kita yaitu 15.000","ICBP,INDF"
221,hengkyviolet,"12 May 21, 19:01",@willygonawi broker KK itu lokal atau foreign?,[]
222,febrindas,"12 May 21, 18:57","@sofyurrizal bisa, tapi untuk kepemilikan 80% itu sudah ada wakilnya, kecuali yang diminta indf jadi wakilnya kita, hehe",INDF
223,VidoOnadi,"12 May 21, 18:57","@jef21 menurutku, ada yg sudah masuk sebenarnya tp masih gunakan Nominee dan dimaintain dibwh 5%. Nanti after RI 1 baru keliatan nama2 nomineenya",[]
224,aldyfadilillaa,"12 May 21, 18:57","@Candra088 iya bg , cs jg di chat ga balas",[]
225,7erang,"12 May 21, 18:55","@Ginnko ga semua org yg negur org yg suka pamer itu iri, bambaaang.",[]
226,StockbitNews,"12 May 21, 18:55","Mantan Deputi Gubernur BI dan Komisaris Gojek Ini Ditunjuk jadi Komut Bank Harda
Jakarta - Rapat umum pemegang saham luar biasa (RUPSLB) PT Bank Harda Indonesia Tbk. menunjuk Ronald Waas menjadi komisaris utama. Artinya, mantan Deputi Gubernur Bank Indonesia itu merangkap jabatan setelah sebelumnya didapuk menjadi komisaris di Gojek Indonesia.Hal tersebut tertuang dalam risala...",BANK
227,BedakPohatji,"12 May 21, 18:55","@meonghitam betul bisa jadi good news ya memang good news..

lihat ARTO setelah gojek masuk makin naik karena memang positif","ARTO,GOOD"
228,StockbitNews,"12 May 21, 18:55","Rencana Kenaikan Tarif PPN, Stafsus Sri Mulyani: Proses Perumusan Masih Panjang
Jakarta - Staf khusus Menteri Keuangan Sri Mulyani Indrawati, Yustinus Prastowo, mengatakan rencana kenaikan tarif pajak pertambahan nilai alias PPN masih dalam taraf diskursus kebijakan. Ia memastikan pemerintah masih akan mendengar masukan dari banyak pihak.""Proses perumusan masih panjang, bahkan...",[]
229,DearHilal,"12 May 21, 18:55",$GIAA,GIAA
230,NewNormal,"12 May 21, 18:54","ga perlu 30tahun bos...
2 bulan kedepan...setelah covid19 meledak melebihi india...gua jamin ni saham di puncak klasemen $IHSG",[]
231,mangamsi,"12 May 21, 18:54",@Stockbit terima kasih atas kesempatan yang diberikan.. sampai jumpa di lain kesempatan,[]
232,sofyurrizal,"12 May 21, 18:54","@febrindas lho bukannya pbv nya bapak, tp kepemilikan sahamnya,
kalau memang bisa seperti itu, berarti andaikan saya beli 1 lot $INDF bisa juga dong dapat ikut RUPS $ICBP? toh kenyataannya tdk bisa seperti itu bukan, karena kepemilikan saham kita di $ICBP itu tdk langsung, tp melalui INDF.","ICBP,INDF"
233,sukram88,"12 May 21, 18:53",lebih baik lagi pindah ke cripto,[]
234,BedakPohatji,"12 May 21, 18:53",@MRKAMBARA277 betul sekali... masa iya gojek tidak bekerja sama secara strategis. jelas jelas di surat keterbukaan ada kerja sama strategis. to the moon,MASA
235,kornienko41,"12 May 21, 18:53",@tonywijaya Ooredo itu perusahaan Qatar bukan milik Saudi Arabia,[]
236,Noble,"12 May 21, 18:50","$ITMG, $LSIP","ITMG,LSIP"
237,NewNormal,"12 May 21, 18:50","$UNVR...gua mah cuma yakin seyakin yakin nya...paling lama 2 bulan setelah lebaran...kasus covid19 indonesia meledak dan lebih dashyat dari india...itu artinya saham2 primer jadi jawara di liga $IHSG
serok dari sekarang yg perlu diserok..
menari diatas kemenangan cuan dari covid19.",UNVR
238,Stockbit,"12 May 21, 18:49","Halo Stockbitor!

Genap sebulan kami telah menemani kamu dalam acara interaktif yang bertajuk ""Stockbitor Meet Mentor (SMM)"". Terimakasih atas antusiasme para Stockbitor yang aktif maupun pasif dalam meramaikan dan menciptakan diskusi berkualitas diantara sesama member.

Tak lupa, kami mengucapkan terimakasih kepada @calvinkurniawan @thowilz @skydrug27 @mangamsi, dan @ViviHL yag telah bersedia meluangkan waktunya untuk berbagi kepada kami terkait dunia pasar saham dari sisi, sudut pandang, dan perspektif yang beragam.

Kami berharap kedepannya Stockbit Stream menjadi wadah referensi bagi kita semua dalam menumbuhkan semangat Investasi di Pasar Modal.

Have a nice day and Happy long weekend, Stockbitor!

Kira-kira kamu suka acara yang seperti apa kedepannya? Silahkan tulis di kolom komentar ya, kami sangat menunggu masukan dari mu!",[]
239,meonghitam,"12 May 21, 18:48",ga selalu benar good news sell,GOOD
240,kaburterus,"12 May 21, 18:48",@AdamN Iya saya juga setuju. Tapi ss itu tidak ada hubungannya dengan emiten. Tidak ada cost dan benefitnya dengan kinerja emiten. Jadi memang tidak dapat dibandingkan dengan ri dan buy back.,[]
241,meonghitam,"12 May 21, 18:48",trader kuno..liat ini bung.. chart volume ca goodnews...,[]
242,fransiskusxavianto,"12 May 21, 18:47",,[]
243,estietude,"12 May 21, 18:46",@orskajoshuap ngumpulin bahan bakar mas broo...kalau mau terbang tinggi dibutuhkan persediaan yang relatif banyak,[]
244,Epping,"12 May 21, 18:45","Sejahat2nya pom-pomers, kalau yang dipompom langsung percaya tanpa riset, ya salah dia juga.

Kerugian materil gak disebabkan oleh tukang pom pom, tapi akibat kebodohan yang terpom pom.

Makanya, belajar.",[]
245,NewNormal,"12 May 21, 18:45","$UNVR yang jelek jelekin ini emiten cuma orang yang tidak bisa melihat peluang kedepan... gua jamin paling lama 2 bulan kasus india mah cuma se upil dengan ledakan covid19 di indonesia...dan saham2 kebutuhan primer akan kembali berjaya.
trust me its work!",UNVR
246,NewNormal,"12 May 21, 18:45","$UNVR yang jelek jelekin ini emiten cuma orang yang tidak bisa melihat peluang kedepan... gua jamin paling lama 2 bulan kasus india mah cuma se upil dengan ledakan covid19 di indonesia...dan saham2 kebutuhan primer akan kembali berjaya.
trust me its work!",UNVR
247,Candra088,"12 May 21, 18:44",@aldyfadilillaa tak carikan info,[]
248,Candra088,"12 May 21, 18:44",@BedakPohatji O,[]
249,Candra088,"12 May 21, 18:44",@SetiawanSkom bisa jadi akakakakakakaka,[]
250,estietude,"12 May 21, 18:44",nyangkut nyaman di perusahaan bagus semacam $HMSP dan $TLKM kenapa pada takut?,"HMSP,TLKM"
251,FutureInvestment,"12 May 21, 18:43","$BBCA

Pada tanggal 11 Mei 2021, $BBCA ditutup di titik tertingginya per hari ini di angka 32400, naik 300 poin (+0,93%) dari harga closing kemarin, setelah sepanjang hari bergerak di zona merah. Secara teknikal dalam timeframe daily, $BBCA ditutup di atas trend line di angka 31775,01. Sinyal BUY muncul sejak tanggal 14 April 2021.

Volume yang dihasilkan tergolong di bawah rata-rata, dengan tekanan beli 100%. Asing per hari ini terlihat membukukan aksi net buy sebanyak Rp 127,72 miliar. Top 5 broker yang melakukan net buy adalah: CS,MS,RX,BB,AK. Top 5 broker yang melakukan net sell adalah: CC,ZP,BK,GR,FS. Indikator MACD menunjukkan sinyal yang bullish. Momentum untuk naik terlihat berkurang, dan cenderung lemah, sehingga harga berpotensi bergerak sideways. Indikator stochastic menunjukkan terjadinya golden cross. Secara historis, harga terbilang ""Slightly Undervalued"".

DISCLAIMER ON: Ini hanya analisis teknikal dari kami yang bisa jadi berbeda dari analisis teknikal orang lain, BUKAN AJAKAN UNTUK MEMBELI ATAU MENJUAL. Keputusan investasi tetap di tangan kalian masing-masing dan selalu terapkan money management!","AKSI,BBCA"
252,iskiny,"12 May 21, 18:42","$PWON $LPKR $APLN $SMRA $IHSG

aprindo-menolak-lockdown-mall-dan-ritel-jelang-dan-saat-lebaran
https://bit.ly/3vXtkuo","APLN,LPKR,PWON,SMRA"
253,ferdinanfirmansya,"12 May 21, 18:42","Coal newc 103 di awal libur panjang.

Bisa2 emiten exportir coal kehilangan potensi cuan karena transaksi export kemungkinan ikut libur juga saat harga sedang tinggi2nya.

Yg tetap bisa menikmati cuan max mungkin $PTBA.
Karena sebagian besar transaksinya menggunakan HBA yg baru terpengaruh di bulan depan.",PTBA
254,Seta87,"12 May 21, 18:42","@FSSP bener bro, barusan gue cek lg udh 103",[]
255,FSSP,"12 May 21, 18:41",@Seta87 coba di cek di bar chart bner ga tulisan sy,[]
256,VidoOnadi,"12 May 21, 18:41","@AmsarJun selama masih dalam jangka waktu dan jml lbr yg disetujui rasanya tdk perlu rupslb lagi. Kayak arto disetujuinya 15m lbt, fase 1 9++m lbr, fase 2 3m lbr. Teoritis psp hrsnya sudah masuk di fase 1 ya IMO",ARTO
257,Seta87,"12 May 21, 18:41",@FSSP Woww,[]
258,FSSP,"12 May 21, 18:40",skrg ud 103 bro,[]
259,pain,"12 May 21, 18:39",$IHSG gotrade tetep buka bursa Amerika nya gak kayak indo yg suka libur. apalagi bursa cripto bukan terus 24jam gak pake libur,INDO
260,pain,"12 May 21, 18:39",$IHSG gotrade tetep buka bursa Amerika nya gak kayak indo yg suka libur. apalagi bursa cripto bukan terus 24jam gak pake libur,INDO
261,jonka28,"12 May 21, 18:37",@sijeje Setuju,[]
262,febrindas,"12 May 21, 18:34","@sofyurrizal yes, karena hitungannya pbv, misal bv indf 100 per lembar, dari 100 itu ada misakan 30 perusaan a, 30 perusaan b, 40 peruasaan c. misalkan perysahaan c ipo , kepemilikan 80%, maka klo dijual di bv 1, jatah indf 40x80%, sisanya investor lain",INDF
263,Smach,"12 May 21, 18:33",@hellyeah2000 liat-liat masih ekspansif baik ke dalam atau luar negeri. semoga Q2 dan seterusnya makin membaik labanya asalkan jgn second wave nanti abis lebaran.,[]
264,TheRealSalim,"12 May 21, 18:31",@missfleurlily dia aja ada bikin event fly to the moon with Dogecoin. . king Midas itu Elon Musk apapun yg disentuh dia jadi emas semua. saham indonesia bandar terbatas dana nya. liat duit masuk 100-200 juta aja uda kaget.,[]
265,mredhani,"12 May 21, 18:30",ibaratnya beli lah pake uang rokok,UANG
266,charls5479,"12 May 21, 18:29","jahat itu, orang yg tebar fear padahal beli, setelah naik banyak dan dijual, kemudian posting cuan ratusan persen. TLKM dan HMSP adalah perusahaan bagus","HMSP,TLKM"
267,kaburterus,"12 May 21, 18:27 · Edited on 12 May 21, 18:39","@bapaksukses dahulu saya beli pakai pbvr pak. Karena dahulu kala dia profitnya pas2an dan rugi. Jadi kalau dahulu nekat beli, seperti saya beli smdr maka mau-gak mau ya saya pakai pbvr.

Kenapa saya sekarang gak pakai lagi sekarang? Karena sekarang banyak perusahaan bagus sahamnya sedang dijual murah, atau terjangkau. Ngapain pusing dan ambil resiko beli perusahaan yang jelas2 rugi melulu walaupun pbvr nya kecil.

Dan kalau sekarang baru masuk $SMDR pertimbangannya eps atau per. Tetapi harus tau, kalau laba meroket, karena faktor harga sewa kapal saat ini sedang meroket. Dan itu biasa di industri pelayaran, bahwa harga sewa kapal turun-naik dengan spread yang signifikan. Jadi siap2 dengan resikonya.",SMDR
268,Seta87,"12 May 21, 18:27","@Dhiwan91 hahaa iya bro, Naiknya belakangan tp sekalinya naik Barbar hehee",[]
269,TheRealSalim,"12 May 21, 18:26","@hutomowij iya dong Kriptomania skrg. ETH uda nabung dari USD 2100 skrg uda USD 3200/Coin. Dogecoin dari USD 0,25/Coin skrg uda USD 0,50/Coin pernah sentuh USD 0,73 tp belum TP, saya akan terus naik minimal menuju USD 1,20/Coin 5x bagger tanpa susah payah, ga kayak di saham batere atau saham bank digital masuk dikit di banting terus. soalnya ada Elon Musk orang terkuat di dunia. Saham Indonesia kere bandar nya, kebanyakan su su liam liam su su liam liam. $IHSG $BBHI $BNBA $AGRS $MLPL","AGRS,BANK,BBHI,BNBA,MLPL"
270,HikaRie,"12 May 21, 18:26","$PURA dah terbangin Ndar... Dah cukup sideways di resistance.

#PenjagaLilin",PURA
271,mredhani,"12 May 21, 18:26",njir ... 30 thn udah lewat umur pensiun,[]
272,Dhiwan91,"12 May 21, 18:26",wah BUMI ini tinggal nunggu.. hehe,BUMI
273,StockbitNews,"12 May 21, 18:25","TBIG Pindah ke Global Standard & PGAS Masuk Small Cap MSCI
Jakarta, CNBC Indonesia - Perusahaan global yang membuat indeks MSCI yaitu MSCI Inc. mengumumkan hasil kajian termutakhir dari MSCI Global Standard Index Indonesia dan MSCI Small Cap Index Indonesia periode semi-annual pada Selasa (11/5/2021) kemarin. Walaupun sudah diumumkan kemarin, namun implemen...","PGAS,TBIG"
274,StockbitNews,"12 May 21, 18:25","Seandainya IHSG Masih Dibuka, Mungkin Akan Berakhir Melemah
Jakarta, CNBC Indonesia - Pasar saham dalam negeri pada pekan ini berakhir pada Selasa (11/5/2021) kemarin atau ditutup lebih awal karena adanya libur panjang memperingati Hari Raya Idul Fitri 1442 HNamun, seandainya pasar saham RI masih dibuka Rabu (12/5/2021) hari ini, kemungkinan Indeks Harga Sah...",[]
275,StockbitNews,"12 May 21, 18:25","Beruntung! Jika Masih Dibuka, Rupiah Mungkin Ditutup Melemah
Jakarta, CNBC Indonesia - Pasar keuangan di Indonesia pada pekan ini sudah berakhir pada Selasa (11/5/2021) kemarin, atau berlangsung selama dua hari.Kinerja rupiah selama dua hari belakangan cukup apik, di mana rupiah masih mampu melanjutkan penguatan di pekan yang hanya dibuka selama dua hari.Mela...",[]
276,StockbitNews,"12 May 21, 18:25","Bursa Asia Ambruk, Hanya Hang Seng & Shanghai yang Selamat
Jakarta, CNBC Indonesia - Bursa Asia mayoritas ditutup di zona merah pada perdagangan Rabu (12/5/2021), karena adanya kekhawatiran akan tekanan kenaikan inflasi Amerika Serikat (AS).Hanya indeks Hang Seng Hong Kong dan Shanghai Composite China yang ditutup di zona hijau pada perdagangan hari ini. In...",[]
277,sofyurrizal,"12 May 21, 18:25 · Edited on 12 May 21, 18:27","@febrindas bakal punya itu maksudnya gmn ya?

jadi misalkan saya beli $INDF 100 lot di harga 6575 (pbv 1,3) maka bakal punya 100 lot $ICBP di harga 3281 (pbv 1.3) to kan saham $ICBP tdk dimiliki oleh $INDF 100% hanya 80% sj?","ICBP,INDF"
278,Ronich,"12 May 21, 18:24",Elon2@sal klakon,[]
279,Zarfin25,"12 May 21, 18:23",nice om,[]
280,missfleurlily,"12 May 21, 18:23",lu kira kerjaan Elon cuma ngangon doge doang~,[]
281,BryanFilbert,"12 May 21, 18:22","$TBIG
https://bit.ly/3obenlZ",TBIG
282,AdamN,"12 May 21, 18:21",@kaburterus kalo ane si lebih suka saham yg sering stocksplit dibandingkan yg sering RI walaupun beda RI dan SS,[]
283,bapaksukses,"12 May 21, 18:19",@kaburterus kalau analisa smdr pakai metode apa Pak,SMDR
284,cipluk,"12 May 21, 18:18",berarti total turun rp 15 ya... bukannya lbh bagus dari ihsg ?,[]
285,delionponce,"12 May 21, 18:15","1 minggu terakhir saham2 batu bara di amerika pada terbang. Apakah akan diikuti oleh saham2 batu bara di indonesia?



$IHSG $PTBA $ADRO $INDY $ITMG","ADRO,INDY,ITMG,PTBA"
286,pitersuryawan,"12 May 21, 18:15",@aditpermana16 coal 100 ganti skenario ke cup n handle,[]
287,Seta87,"12 May 21, 18:14","Average Up/Down On May and Continue your sleep..
$BUMI $DOID $ITMG $INDY $PTBA","BUMI,DOID,INDY,ITMG,PTBA"
288,TingTong,"12 May 21, 18:14","@Elite sewaktu masih nama Bank Pundi, BEKS dijual oleh perusahaan Sandi, Recapital, bukan Saratoga ya.","BANK,BEKS"
289,bopy1908,"12 May 21, 18:13","30 Tahun mah lama bener, 10 thn aja uda maksimal lah
Lagian ada yg bisa jamin kah pasti naik diatas inflasi? Kalau naiknya dibawah inflasi per thn mah sama aja boong

Kalau mau hold 30thn, mending nyicil beli tanah, 30 thn lg dijamin 100% pasti naik. Tanah tiap hr makin berkurang jumlahnya, jd gk mgkn turun harga

Kalau nyuruh hold yah yg masuk akal dikit lah 3-5 thn ,itu masih byk yg mau, kalau 30 thn mah mending beli rumah/tanah",[]
290,orskajoshuap,"12 May 21, 18:11",$ITMG $PTBA $INDY lama bener kau heh... tuh lihat coal sudah mw otw ke $94 lu msh sja ngendon disini...,"INDY,ITMG,PTBA"
291,StockbitNews,"12 May 21, 18:10","Riset Moody's: Industri Penerbangan akan Membaik Seiring Vaksinasi
JAKARTA, Lembaga riset finansial Moody's Investors Service menyatakan bahwa kinerja industri penerbangan global diyakini bakal membaik seiring banyaknya program vaksinasi di berbagai negara yang juga dinilai akan mendorong permintaan di sektor tersebut.Moody's Senior Vice President, Jonathan Root me...",[]
292,StockbitNews,"12 May 21, 18:10","SPBG Tetap Beroperasi Saat Libur Lebaran
JAKARTA, PT Gagas Energi Indonesia sebagai pengelola Stasiun Pengisian Bahan Bakar Gas (SPBG) memastikan akan tetap menyediakan layanan pengisian bahan bakar gas selama masa libur Lebaran.Perusahaan dari bagian subholding gas PT Perusahaan Gas Negara Tbk (PGN) tersebut akan tetap mengoperasikan 12 S...",MASA
293,StockbitNews,"12 May 21, 18:10","Erick Thohir Bentuk Panitia Holding BUMN Pangan, Ini Fungsinya
JAKARTA, Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir membentuk Panitia Antar Kementerian untuk penyusunan rancangan Peraturan Pemerintah (PP) tentang Penggabungan BUMN Pangan. Pembentukan tersebut tertuang dalam Surat Keputusan Menteri BUMN No SK-144/MBU/05/2021 tanggal 5 Mei 2021.  Pembe...",[]
294,StockbitNews,"12 May 21, 18:10","Ada Penutupan Outlet, BNI Pastikan Tidak Akan Ada PHK
JAKARTA, PT Bank Negara Indonesia (Persero) Tbk  atau BNI berencana menutup maupun relokasi 96 outletnya tahun ini. Kendati demikian, Corporate Secretary BNI Mucharom menegaskan, tidak ada pemutusan hubungan kerja (PHK) bagi karyawan BNI yang akan terdampak penutupan maupun relokasi outlet. ""Terkai...",BANK
295,alphanav,"12 May 21, 18:09","[Flash Review] (FA) $HMSP 12-05-2021

Tahun 2017, kapitalisasi pasar HMSP masih Rp 550 triliun. Sekarang kapitalisasi pasarnya tersisa hanya Rp 151 triliun. At the same time, laba bersih HMSP memang turun dari Rp 12.6 triliun menjadi Rp 10.3 triliun (est 2021). Apakah ini kesempatan membeli saham HMSP?

HMSP mengawali tahun 2021 dengan kinerja yang kurang begitu baik. 1Q2021: Penjualan bersih turun tipis dari Rp 23.6 triliun menjadi Rp 23.5 triliun. Gross Profit margin juga turun karena dampak dari kenaikan cukai rokok sehingga laba kotor hanya tercatat Rp 5.03 triliun, turun dibandingkan Rp 5.8 triliun di Q1 2020.

Belum pulihnya daya beli masyarakat membuat HMSP belum berani menaikkan harga produk secara agresif. Meski demikian, harga rokok secara perlahan tetap naik demi menjaga margin bisnis HMSP. Laba bersih HMSP 1Q2021 Rp 2.58 triliun.

Industri rokok masih mendapatkan sentimen negatif karena pemerintah akan menaikkan cukai rokok secara agresif hingga tahun 2024. Hal ini akan memukul kinerja HMSP apabila daya beli masyarakat tidak pulih.

Valuasi HMSP Rp 1300/lembar: PER 14.6x, PBV 4.35x tentu saja sangat murah dibandingkan dengan historinya -- menyesuaikan sentimen negatif dan penurunan kinerja.

Disclaimer : ON","DAYA,HMSP,SAME"
296,SuksesMakmurJaya,"12 May 21, 18:08",@Michaelyeoh thank u bro penjelasannya,[]
297,febrindas,"12 May 21, 18:07","@sofyurrizal yeap, karena pbv itu price dibagi book value pershare, mau 1 lembar jg bakal.sesuai proporsi, klo.punya indf di pbv 1.5 maka bakal.punya icbp di pbv 1.5, karena semua nya proporsional","ICBP,INDF"
298,ron81,"12 May 21, 18:05","@DZAT93 bisa bro, langsung ara jg bisa",[]
299,pemainlokal,"12 May 21, 18:04","$IPTV bs masuk ya, pdhal harganya malah turun setahun ini",IPTV
